filename,size_bytes
AIM01_T_CLM_SBR_83.dat,176099130
AIM01_T_CLM_SBR_84.dat,175767432
AIM01_T_CLM_SBR_85.dat,175996293
AIM01_T_CLM_SBR_86.dat,175796637
AIM01_T_CLM_SBR_87.dat,175865136
AIM01_T_CLM_SBR_88.dat,175970628
AIM01_T_CLM_SBR_89.dat,175923015
AIM01_T_CLM_SBR_8.dat,176063730
AIM01_T_CLM_SBR_90.dat,176009568
AIM01_T_CLM_SBR_91.dat,175874517
AIM01_T_CLM_SBR_92.dat,176106387
AIM01_T_CLM_SBR_93.dat,176010453
AIM01_T_CLM_SBR_94.dat,176093643
AIM01_T_CLM_SBR_95.dat,175702827
AIM01_T_CLM_SBR_96.dat,176085501
AIM01_T_CLM_SBR_97.dat,176073288
AIM01_T_CLM_SBR_98.dat,175946202
AIM01_T_CLM_SBR_99.dat,176199135
AIM01_T_CLM_SBR_9.dat,176178249
deidentified_02202026.tar.gz,10431157735
AIM_T_EVS_INQUIRY_0.dat,160574014
AIM_T_EVS_INQUIRY_100.dat,160670614
AIM_T_EVS_INQUIRY_101.dat,160498022
AIM_T_EVS_INQUIRY_102.dat,160619899
AIM_T_EVS_INQUIRY_103.dat,160592207
AIM_T_EVS_INQUIRY_104.dat,160628271
AIM_T_EVS_INQUIRY_105.dat,160595749
AIM_T_EVS_INQUIRY_106.dat,160506233
AIM_T_EVS_INQUIRY_107.dat,160815192
AIM_T_EVS_INQUIRY_108.dat,160629559
AIM_T_EVS_INQUIRY_109.dat,160591402
AIM_T_EVS_INQUIRY_10.dat,160537789
AIM_T_EVS_INQUIRY_110.dat,160552118
AIM_T_EVS_INQUIRY_111.dat,160450688
AIM_T_EVS_INQUIRY_112.dat,160597842
AIM_T_EVS_INQUIRY_113.dat,160652743
AIM_T_EVS_INQUIRY_114.dat,160552762
AIM_T_EVS_INQUIRY_115.dat,160548898
AIM_T_EVS_INQUIRY_116.dat,160413980
AIM_T_EVS_INQUIRY_117.dat,160557592
AIM_T_EVS_INQUIRY_118.dat,160793457
AIM_T_EVS_INQUIRY_119.dat,160599452
AIM_T_EVS_INQUIRY_11.dat,160685909
AIM_T_EVS_INQUIRY_120.dat,160559685
AIM_T_EVS_INQUIRY_121.dat,160626339
AIM_T_EVS_INQUIRY_122.dat,160613620
